no,province,provinceID,district,districtID,neighborhood,neighborhoodID
448,Amasya,27,Taşova,158,Kızgüldüren Köyü,47448
449,Amasya,27,Taşova,158,Korubaşı Köyü,47505
450,Amasya,27,Taşova,158,Kozluca Köyü,47085
451,Amasya,27,Taşova,158,Kumluca Köyü,47237
452,Amasya,27,Taşova,158,Mercimek Köyü,157247
453,Amasya,27,Taşova,158,Mülkbükü Köyü,47316
454,Amasya,27,Taşova,158,Özbaraklı Köyü,48143
455,Amasya,27,Taşova,158,Sanayi,48103
456,Amasya,27,Taşova,158,Sepetli Köyü,47262
457,Amasya,27,Taşova,158,Sofualan Köyü,203122
458,Amasya,27,Taşova,158,Şahinler Köyü,47073
459,Amasya,27,Taşova,158,Şeyhli Köyü,47059
